Frequency,Offset,Tone,Call,Location,ST/PR,Use,Mode,Mi,Dir,Operational status
927.0375,-25 MHz,94.8,KC4IRA,"Gastonia, Crowders Mountain",NC,OPEN,FM,67.23,NE,ON-AIR
442.85,+5 MHz,,AG4AZ,"Brevard, Rich Mountain",NC,OPEN,FM,67.27,NW,ON-AIR
53.13,-1.0 MHz,100,W4FOT,Hendersonville,NC,OPEN,FM,67.46,NNW,ON-AIR
147.255,+0.6 MHz,,KJ4JAL,Hendersonville,NC,OPEN,DSTAR,67.46,NNW,ON-AIR
224.24,-1.6 MHz,,WA4KNI,Hendersonville,NC,OPEN,FM,67.46,NNW,ON-AIR
441.8875,+5 MHz,CC1,W4FOT,Hendersonville,NC,OPEN,DMR,67.46,NNW,ON-AIR
442.45,+5 MHz,CC1,WA4TOG,Hendersonville,NC,OPEN,DMR,67.46,NNW,ON-AIR
927.55,-25 MHz,CC1,WA4TOG,Hendersonville,NC,OPEN,DMR,67.46,NNW,ON-AIR
146.985,-0.6 MHz,71.9 / 71.9,K4KNS,Evans,GA,OPEN,FM EchoLink,67.61,SSW,ON-AIR
145.38,-0.6 MHz,,KJ4FCS,Columbia,SC,OPEN,DSTAR,67.9,SE,ON-AIR
442.775,+5 MHz,,KJ4FCS,Columbia,SC,OPEN,DSTAR,67.9,SE,ON-AIR
444.9,+5 MHz,71.9 / 71.9,K4KNS,Evans,GA,OPEN,FM,67.92,SSW,ON-AIR
145.11,-0.6 MHz,110.9 / 110.9,KT4TF,Fort Mill,SC,OPEN,FM,68.38,E,ON-AIR
145.19,-0.6 MHz,71.9 / 71.9,K4KNS,Appling,GA,OPEN,FM,68.62,SSW,ON-AIR
442.9,+5 MHz,71.9 / 71.9,K4KNS,Appling,GA,OPEN,FM,68.62,SSW,ON-AIR
224.96,-1.6 MHz,,N4DWP,Cherryville,NC,OPEN,FM,68.83,NNE,ON-AIR
224.8,-1.6 MHz,110.9,KT4TF,Fort Mill,SC,OPEN,FM,68.88,E,ON-AIR
145.08,+1.4 MHz,,KJ4PYA,Appling,GA,OPEN,DSTAR,69.13,SSW,ON-AIR
445.65,-5 MHz,,KJ4PYA,Appling,GA,OPEN,DSTAR,69.13,SSW,ON-AIR
1249,0 MHz,,KJ4PYA,Appling,GA,OPEN,DSTAR,69.13,SSW,ON-AIR
53.03,-1 MHz,,K4KNS,"Augusta, Tobacco Road",GA,OPEN,FM,69.18,S,ON-AIR
145.29,-0.6 MHz,71.9 / 71.9,W4DV,South Augusta,GA,OPEN,FM,69.18,S,ON-AIR
145.41,-0.6 MHz,71.9 / 71.9,K4KNS,"Augusta, Doctors Hospital",GA,OPEN,FM,69.18,S,ON-AIR
146.94,-0.6 MHz,146.2 / 146.2,KE4RAP,"Augusta, Bon Air Hotel",GA,OPEN,FM,69.18,S,ON-AIR
147.18,+0.6 MHz,71.9 / 71.9,W4DV,South Augusta,GA,OPEN,FM,69.18,S,ON-AIR
145.11,-0.6 MHz,71.9 / 71.9,W4DV,North Augusta,SC,OPEN,FM,69.24,S,Unknown status
444.675,+5 MHz,71.9 / 71.9,K4KNS,"Augusta, Doctors Hospital",GA,OPEN,FM,69.24,S,ON-AIR
444.525,+5 MHz,94.8,K4WBT,"Waxhaw, JAARS Center",NC,OPEN,FM,69.87,E,ON-AIR
146.865,+0.6 MHz,94.8,K4WBT,Waxhaw,NC,OPEN,FM EchoLink Fusion,69.9,E,OFF-AIR
146.82,-0.6 MHz,91.5 / 91.5,KI4RAX,Lugoff,SC,OPEN,FM,69.91,SE,ON-AIR
441.8,+5 MHz,91.5,KI4RAX,Lugoff,SC,OPEN,FM,69.91,SE,ON-AIR
146.715,-0.6 MHz,100,W4CMB,Lavonia,GA,OPEN,FM Fusion,70.25,W,ON-AIR
442.475,+5 MHz,203.5,W4CMB,Lavonia,GA,OPEN,FM Fusion,70.25,W,ON-AIR
